doc_id,source,category,file_path,file_name,status,priority
kr_kr_rules_2024_06589ada,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/이동식 해양구조물 규칙_2024.pdf,이동식 해양구조물 규칙_2024.pdf,pending,3
kr_kr_rules_2023_da125df2,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/이동식 해양굴착구조물 규칙_2023.pdf,이동식 해양굴착구조물 규칙_2023.pdf,pending,3
kr_kr_rules_2017_66c671e3,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/일점계류장치 지침_2017.pdf,일점계류장치 지침_2017.pdf,pending,3
kr_kr_rules_2025_83dcb7d6,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/자율운항선박 지침_2025.pdf,자율운항선박 지침_2025.pdf,pending,3
kr_kr_rules_2025_cce00eeb,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/잠수선 규칙_2025.pdf,잠수선 규칙_2025.pdf,pending,3
kr_kr_rules_2025_6b416cae,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/저인화점연료선박 규칙_2025.pdf,저인화점연료선박 규칙_2025.pdf,pending,3
kr_kr_rules_2025_44d41c4a,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/전문공급자 승인 지침_2025.pdf,전문공급자 승인 지침_2025.pdf,pending,3
kr_kr_rules_2025_8b225898,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/제조법 및 형식승인 등에 관한 지침_2025.pdf,제조법 및 형식승인 등에 관한 지침_2025.pdf,pending,3
kr_kr_rules_2023_bd4c15e4,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/준설선 규칙_2023.pdf,준설선 규칙_2023.pdf,pending,3
kr_kr_rules_2025_849198c2,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/직류배전시스템 지침_2025.pdf,직류배전시스템 지침_2025.pdf,pending,3
kr_kr_rules_2022_7da18308,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/컴퓨터기반시스템 적합성 인증 지침_2022.pdf,컴퓨터기반시스템 적합성 인증 지침_2022.pdf,pending,3
kr_kr_rules_2021_56bff922,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/통합 소프트웨어 프로세스 관리 지침_2021.pdf,통합 소프트웨어 프로세스 관리 지침_2021.pdf,pending,3
kr_kr_rules_2024_5b29aa81,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/플로팅독 규칙_2024.pdf,플로팅독 규칙_2024.pdf,pending,3
kr_kr_rules_2023_159adeec,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/해상 기자재 사이버보안 적합성 인증 지침_2023.pdf,해상 기자재 사이버보안 적합성 인증 지침_2023.pdf,pending,3
kr_kr_rules_2025_0a9df471,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/해상 사이버보안 시스템 지침_2025.pdf,해상 사이버보안 시스템 지침_2025.pdf,pending,3
kr_kr_rules_osv_2024_006eaf1b,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/해상작업지원선(OSV) 지침_2024.pdf,해상작업지원선(OSV) 지침_2024.pdf,pending,3
kr_kr_rules_2025_f35f08fc,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/해상컨테이너 지침_2025.pdf,해상컨테이너 지침_2025.pdf,pending,3
kr_kr_rules_2018_24298276,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/해양레저선박 지침_2018.pdf,해양레저선박 지침_2018.pdf,pending,3
kr_kr_rules_2024_a7fb66d7,KR,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/KR Rules/휘핑을 고려한 컨테이너선의 강도평가 지침_2024.pdf,휘핑을 고려한 컨테이너선의 강도평가 지침_2024.pdf,pending,3
