doc_id,source,category,file_path,file_name,status,priority,folder,pilot_status
dnv_dnv_class_2026_04_dnv_os_d202_0ed76610,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-OS-D202.pdf,DNV-OS-D202.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0069_794e56de,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0069.pdf,DNV-CP-0069.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0403_f3d7f158,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0403.pdf,DNV-CP-0403.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0418_4acda348,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0418.pdf,DNV-CP-0418.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0631_61997431,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0631.pdf,DNV-CP-0631.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0089_93eadf67,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0089.pdf,DNV-CP-0089.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0467_a6326715,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0467.pdf,DNV-CP-0467.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0250_ce256f33,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0250.pdf,DNV-CP-0250.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_si_0364_c3a50163,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-SI-0364.pdf,DNV-SI-0364.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_os_c401_244861f9,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-OS-C401.pdf,DNV-OS-C401.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0622_0f102e40,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0622.pdf,DNV-CP-0622.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0426_30daafae,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0426.pdf,DNV-CP-0426.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0572_a0c64e62,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0572.pdf,DNV-CP-0572.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0174_a01be6ad,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0174.pdf,DNV-CP-0174.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0264_00e0cc67,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0264.pdf,DNV-CG-0264.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0210_3a4aff26,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0210.pdf,DNV-CP-0210.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_uwt_pt2_eba91712,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-UWT-Pt2.pdf,DNV-RU-UWT-Pt2.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0158_2fc60bcb,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0158.pdf,DNV-CG-0158.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0203_b65ed07a,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0203.pdf,DNV-CP-0203.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0432_45b19178,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0432.pdf,DNV-CP-0432.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0244_286a8061,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0244.pdf,DNV-CP-0244.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0040_96652173,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0040.pdf,DNV-CG-0040.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0406_135abfb9,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0406.pdf,DNV-CP-0406.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_os_e402_bf55a422,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-OS-E402.pdf,DNV-OS-E402.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_uwt_pt5_6e74f6c6,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-UWT-Pt5.pdf,DNV-RU-UWT-Pt5.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0072_a4db9350,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0072.pdf,DNV-CP-0072.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0424_38e00a7f,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0424.pdf,DNV-CP-0424.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0509_9ca6d6be,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0509.pdf,DNV-CP-0509.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0255_20cad3e6,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0255.pdf,DNV-CP-0255.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0407_515c3c3a,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0407.pdf,DNV-CP-0407.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0042_7cce5202,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0042.pdf,DNV-CG-0042.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0338_86c6790c,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0338.pdf,DNV-CP-0338.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_ou_0503_60d73743,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-OU-0503.pdf,DNV-RU-OU-0503.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_ou_0104_330e4215,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-OU-0104.pdf,DNV-RU-OU-0104.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0288_2efb58a4,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0288.pdf,DNV-CG-0288.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0038_1806d398,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0038.pdf,DNV-CG-0038.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0261_e687bec4,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0261.pdf,DNV-CP-0261.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_ru_ou_0103_d36c5d60,DNV,RULES,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-RU-OU-0103.pdf,DNV-RU-OU-0103.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0663_091134b1,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0663.pdf,DNV-CP-0663.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0085_00d60caa,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0085.pdf,DNV-CP-0085.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0554_fde170ce,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0554.pdf,DNV-CG-0554.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_os_c102_53dc4c06,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-OS-C102.pdf,DNV-OS-C102.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0404_3fe514c0,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0404.pdf,DNV-CP-0404.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0287_03b17d31,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0287.pdf,DNV-CG-0287.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cg_0129_02a84241,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0129.pdf,DNV-CG-0129.pdf,pending,3,dnv-class_2026-04,pending
dnv_dnv_class_2026_04_dnv_cp_0461_9f663b94,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0461.pdf,DNV-CP-0461.pdf,pending,3,dnv-class_2026-04,pending
